permutation,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9
"(4, 3, 2, 6, 8, 5, 7, 1)",1,1,0,0,13,1,4,0,0
"(4, 3, 2, 6, 8, 7, 1, 5)",0,0,0,1,13,1,4,0,0
"(4, 3, 2, 6, 8, 7, 5, 1)",1,1,0,1,14,0,5,0,0
"(4, 3, 2, 7, 1, 5, 6, 8)",0,0,0,0,9,1,3,0,0
"(4, 3, 2, 7, 1, 5, 8, 6)",0,1,0,1,10,0,4,0,0
"(4, 3, 2, 7, 1, 6, 5, 8)",0,0,0,0,10,0,4,0,0
"(4, 3, 2, 7, 1, 6, 8, 5)",0,1,0,0,11,1,4,0,0
"(4, 3, 2, 7, 1, 8, 5, 6)",0,0,0,1,11,1,4,0,0
"(4, 3, 2, 7, 1, 8, 6, 5)",0,1,0,1,12,0,5,0,0
"(4, 3, 2, 7, 5, 1, 6, 8)",0,0,0,0,10,0,4,0,0
"(4, 3, 2, 7, 5, 1, 8, 6)",0,1,0,0,11,1,5,0,0
"(4, 3, 2, 7, 5, 6, 1, 8)",0,0,0,0,11,1,4,0,0
"(4, 3, 2, 7, 5, 6, 8, 1)",1,1,0,0,12,0,4,0,0
"(4, 3, 2, 7, 5, 8, 1, 6)",0,0,0,0,12,0,4,0,0
"(4, 3, 2, 7, 5, 8, 6, 1)",1,1,0,0,13,1,5,0,0
"(4, 3, 2, 7, 6, 1, 5, 8)",0,0,0,0,11,1,4,0,0
"(4, 3, 2, 7, 6, 1, 8, 5)",0,1,0,1,12,0,5,0,0
"(4, 3, 2, 7, 6, 5, 1, 8)",0,0,0,0,12,0,5,0,0
"(4, 3, 2, 7, 6, 5, 8, 1)",1,1,0,1,13,1,5,0,0
"(4, 3, 2, 7, 6, 8, 1, 5)",0,0,0,1,13,1,4,0,0
"(4, 3, 2, 7, 6, 8, 5, 1)",1,1,0,1,14,0,5,0,0
"(4, 3, 2, 7, 8, 1, 5, 6)",0,0,0,1,12,0,3,0,0
"(4, 3, 2, 7, 8, 1, 6, 5)",0,1,0,1,13,1,4,0,0
"(4, 3, 2, 7, 8, 5, 1, 6)",0,0,0,1,13,1,4,0,0
"(4, 3, 2, 7, 8, 5, 6, 1)",1,1,0,1,14,0,4,0,0
"(4, 3, 2, 7, 8, 6, 1, 5)",0,0,0,0,14,0,4,0,0
"(4, 3, 2, 7, 8, 6, 5, 1)",1,1,0,0,15,1,5,0,0
"(4, 3, 2, 8, 1, 5, 6, 7)",0,0,0,1,10,0,3,0,0
"(4, 3, 2, 8, 1, 5, 7, 6)",0,1,0,0,11,1,4,0,0
"(4, 3, 2, 8, 1, 6, 5, 7)",0,0,0,0,11,1,4,0,0
"(4, 3, 2, 8, 1, 6, 7, 5)",0,1,0,0,12,0,4,0,0
"(4, 3, 2, 8, 1, 7, 5, 6)",0,0,0,1,12,0,4,0,0
"(4, 3, 2, 8, 1, 7, 6, 5)",0,1,0,1,13,1,5,0,0
"(4, 3, 2, 8, 5, 1, 6, 7)",0,0,0,0,11,1,4,0,0
"(4, 3, 2, 8, 5, 1, 7, 6)",0,1,0,0,12,0,5,0,0
"(4, 3, 2, 8, 5, 6, 1, 7)",0,0,0,0,12,0,4,0,0
"(4, 3, 2, 8, 5, 6, 7, 1)",1,1,0,0,13,1,4,0,0
"(4, 3, 2, 8, 5, 7, 1, 6)",0,0,0,0,13,1,4,0,0
"(4, 3, 2, 8, 5, 7, 6, 1)",1,1,0,0,14,0,5,0,0
"(4, 3, 2, 8, 6, 1, 5, 7)",0,0,0,1,12,0,4,0,0
"(4, 3, 2, 8, 6, 1, 7, 5)",0,1,0,0,13,1,5,0,0
"(4, 3, 2, 8, 6, 5, 1, 7)",0,0,0,1,13,1,5,0,0
"(4, 3, 2, 8, 6, 5, 7, 1)",1,1,0,0,14,0,5,0,0
"(4, 3, 2, 8, 6, 7, 1, 5)",0,0,0,1,14,0,4,0,0
"(4, 3, 2, 8, 6, 7, 5, 1)",1,1,0,1,15,1,5,0,0
"(4, 3, 2, 8, 7, 1, 5, 6)",0,0,0,1,13,1,4,0,0
"(4, 3, 2, 8, 7, 1, 6, 5)",0,1,0,1,14,0,5,0,0
"(4, 3, 2, 8, 7, 5, 1, 6)",0,0,0,1,14,0,5,0,0
"(4, 3, 2, 8, 7, 5, 6, 1)",1,1,0,1,15,1,5,0,0
"(4, 3, 2, 8, 7, 6, 1, 5)",0,0,0,0,15,1,5,0,0
"(4, 3, 2, 8, 7, 6, 5, 1)",1,1,0,0,16,0,6,0,0
"(4, 3, 5, 1, 2, 6, 7, 8)",0,0,0,0,7,1,2,0,0
"(4, 3, 5, 1, 2, 6, 8, 7)",0,1,0,0,8,0,3,0,0
"(4, 3, 5, 1, 2, 7, 6, 8)",0,0,0,0,8,0,3,0,0
"(4, 3, 5, 1, 2, 7, 8, 6)",0,1,0,1,9,1,3,0,0
"(4, 3, 5, 1, 2, 8, 6, 7)",0,0,0,1,9,1,3,0,0
"(4, 3, 5, 1, 2, 8, 7, 6)",0,1,0,0,10,0,4,0,0
"(4, 3, 5, 1, 6, 2, 7, 8)",0,0,0,0,8,0,3,0,0
"(4, 3, 5, 1, 6, 2, 8, 7)",0,1,0,1,9,1,4,0,0
"(4, 3, 5, 1, 6, 7, 2, 8)",0,0,0,0,9,1,3,0,0
"(4, 3, 5, 1, 6, 7, 8, 2)",0,1,0,1,10,0,3,0,0
"(4, 3, 5, 1, 6, 8, 2, 7)",0,0,0,1,10,0,3,0,0
"(4, 3, 5, 1, 6, 8, 7, 2)",0,1,0,0,11,1,4,0,0
"(4, 3, 5, 1, 7, 2, 6, 8)",0,0,0,0,9,1,3,0,0
"(4, 3, 5, 1, 7, 2, 8, 6)",0,1,0,1,10,0,4,0,0
"(4, 3, 5, 1, 7, 6, 2, 8)",0,0,0,0,10,0,4,0,0
"(4, 3, 5, 1, 7, 6, 8, 2)",0,1,0,0,11,1,4,0,0
"(4, 3, 5, 1, 7, 8, 2, 6)",0,0,0,1,11,1,3,0,0
"(4, 3, 5, 1, 7, 8, 6, 2)",0,1,0,1,12,0,4,0,0
"(4, 3, 5, 1, 8, 2, 6, 7)",0,0,0,1,10,0,3,0,0
"(4, 3, 5, 1, 8, 2, 7, 6)",0,1,0,0,11,1,4,0,0
"(4, 3, 5, 1, 8, 6, 2, 7)",0,0,0,0,11,1,4,0,0
"(4, 3, 5, 1, 8, 6, 7, 2)",0,1,0,0,12,0,4,0,0
"(4, 3, 5, 1, 8, 7, 2, 6)",0,0,0,1,12,0,4,0,0
"(4, 3, 5, 1, 8, 7, 6, 2)",0,1,0,1,13,1,5,0,0
"(4, 3, 5, 2, 1, 6, 7, 8)",0,0,0,0,8,0,3,0,0
"(4, 3, 5, 2, 1, 6, 8, 7)",0,1,0,0,9,1,4,0,0
"(4, 3, 5, 2, 1, 7, 6, 8)",0,0,0,0,9,1,4,0,0
"(4, 3, 5, 2, 1, 7, 8, 6)",0,1,0,1,10,0,4,0,0
"(4, 3, 5, 2, 1, 8, 6, 7)",0,0,0,1,10,0,4,0,0
"(4, 3, 5, 2, 1, 8, 7, 6)",0,1,0,0,11,1,5,0,0
"(4, 3, 5, 2, 6, 1, 7, 8)",0,0,0,0,9,1,3,0,0
"(4, 3, 5, 2, 6, 1, 8, 7)",0,1,0,1,10,0,4,0,0
"(4, 3, 5, 2, 6, 7, 1, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 5, 2, 6, 7, 8, 1)",1,1,0,1,11,1,3,0,0
"(4, 3, 5, 2, 6, 8, 1, 7)",0,0,0,1,11,1,3,0,0
"(4, 3, 5, 2, 6, 8, 7, 1)",1,1,0,0,12,0,4,0,0
"(4, 3, 5, 2, 7, 1, 6, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 5, 2, 7, 1, 8, 6)",0,1,0,1,11,1,4,0,0
"(4, 3, 5, 2, 7, 6, 1, 8)",0,0,0,0,11,1,4,0,0
"(4, 3, 5, 2, 7, 6, 8, 1)",1,1,0,0,12,0,4,0,0
"(4, 3, 5, 2, 7, 8, 1, 6)",0,0,0,1,12,0,3,0,0
"(4, 3, 5, 2, 7, 8, 6, 1)",1,1,0,1,13,1,4,0,0
"(4, 3, 5, 2, 8, 1, 6, 7)",0,0,0,1,11,1,3,0,0
"(4, 3, 5, 2, 8, 1, 7, 6)",0,1,0,0,12,0,4,0,0
"(4, 3, 5, 2, 8, 6, 1, 7)",0,0,0,0,12,0,4,0,0
"(4, 3, 5, 2, 8, 6, 7, 1)",1,1,0,0,13,1,4,0,0
"(4, 3, 5, 2, 8, 7, 1, 6)",0,0,0,1,13,1,4,0,0
"(4, 3, 5, 2, 8, 7, 6, 1)",1,1,0,1,14,0,5,0,0
"(4, 3, 5, 6, 1, 2, 7, 8)",0,0,0,0,9,1,2,0,0
"(4, 3, 5, 6, 1, 2, 8, 7)",0,1,0,1,10,0,3,0,0
"(4, 3, 5, 6, 1, 7, 2, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 5, 6, 1, 7, 8, 2)",0,1,0,1,11,1,3,0,0
"(4, 3, 5, 6, 1, 8, 2, 7)",0,0,0,1,11,1,3,0,0
"(4, 3, 5, 6, 1, 8, 7, 2)",0,1,0,0,12,0,4,0,0
"(4, 3, 5, 6, 2, 1, 7, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 5, 6, 2, 1, 8, 7)",0,1,0,1,11,1,4,0,0
"(4, 3, 5, 6, 2, 7, 1, 8)",0,0,0,0,11,1,3,0,0
"(4, 3, 5, 6, 2, 7, 8, 1)",1,1,0,1,12,0,3,0,0
"(4, 3, 5, 6, 2, 8, 1, 7)",0,0,0,1,12,0,3,0,0
"(4, 3, 5, 6, 2, 8, 7, 1)",1,1,0,0,13,1,4,0,0
"(4, 3, 5, 6, 7, 1, 2, 8)",0,0,0,0,11,1,2,0,0
"(4, 3, 5, 6, 7, 1, 8, 2)",0,1,0,1,12,0,3,0,0
"(4, 3, 5, 6, 7, 2, 1, 8)",0,0,0,0,12,0,3,0,0
"(4, 3, 5, 6, 7, 2, 8, 1)",1,1,0,1,13,1,3,0,0
"(4, 3, 5, 6, 7, 8, 1, 2)",0,0,0,1,13,1,2,0,0
"(4, 3, 5, 6, 7, 8, 2, 1)",1,1,0,1,14,0,3,0,0
"(4, 3, 5, 6, 8, 1, 2, 7)",0,0,0,1,12,0,2,0,0
"(4, 3, 5, 6, 8, 1, 7, 2)",0,1,0,0,13,1,3,0,0
"(4, 3, 5, 6, 8, 2, 1, 7)",0,0,0,1,13,1,3,0,0
"(4, 3, 5, 6, 8, 2, 7, 1)",1,1,0,0,14,0,3,0,0
"(4, 3, 5, 6, 8, 7, 1, 2)",0,0,0,1,14,0,3,0,0
"(4, 3, 5, 6, 8, 7, 2, 1)",1,1,0,1,15,1,4,0,0
"(4, 3, 5, 7, 1, 2, 6, 8)",0,0,0,0,10,0,2,0,0
"(4, 3, 5, 7, 1, 2, 8, 6)",0,1,0,1,11,1,3,0,0
"(4, 3, 5, 7, 1, 6, 2, 8)",0,0,0,0,11,1,3,0,0
"(4, 3, 5, 7, 1, 6, 8, 2)",0,1,0,0,12,0,3,0,0
"(4, 3, 5, 7, 1, 8, 2, 6)",0,0,0,1,12,0,3,0,0
"(4, 3, 5, 7, 1, 8, 6, 2)",0,1,0,1,13,1,4,0,0
"(4, 3, 5, 7, 2, 1, 6, 8)",0,0,0,0,11,1,3,0,0
"(4, 3, 5, 7, 2, 1, 8, 6)",0,1,0,1,12,0,4,0,0
"(4, 3, 5, 7, 2, 6, 1, 8)",0,0,0,0,12,0,3,0,0
"(4, 3, 5, 7, 2, 6, 8, 1)",1,1,0,0,13,1,3,0,0
"(4, 3, 5, 7, 2, 8, 1, 6)",0,0,0,1,13,1,3,0,0
"(4, 3, 5, 7, 2, 8, 6, 1)",1,1,0,1,14,0,4,0,0
"(4, 3, 5, 7, 6, 1, 2, 8)",0,0,0,0,12,0,3,0,0
"(4, 3, 5, 7, 6, 1, 8, 2)",0,1,0,1,13,1,4,0,0
"(4, 3, 5, 7, 6, 2, 1, 8)",0,0,0,0,13,1,4,0,0
"(4, 3, 5, 7, 6, 2, 8, 1)",1,1,0,1,14,0,4,0,0
"(4, 3, 5, 7, 6, 8, 1, 2)",0,0,0,1,14,0,3,0,0
"(4, 3, 5, 7, 6, 8, 2, 1)",1,1,0,1,15,1,4,0,0
"(4, 3, 5, 7, 8, 1, 2, 6)",0,0,0,1,13,1,2,0,0
"(4, 3, 5, 7, 8, 1, 6, 2)",0,1,0,1,14,0,3,0,0
"(4, 3, 5, 7, 8, 2, 1, 6)",0,0,0,1,14,0,3,0,0
"(4, 3, 5, 7, 8, 2, 6, 1)",1,1,0,1,15,1,3,0,0
"(4, 3, 5, 7, 8, 6, 1, 2)",0,0,0,0,15,1,3,0,0
"(4, 3, 5, 7, 8, 6, 2, 1)",1,1,0,0,16,0,4,0,0
"(4, 3, 5, 8, 1, 2, 6, 7)",0,0,0,1,11,1,2,0,0
"(4, 3, 5, 8, 1, 2, 7, 6)",0,1,0,0,12,0,3,0,0
"(4, 3, 5, 8, 1, 6, 2, 7)",0,0,0,0,12,0,3,0,0
"(4, 3, 5, 8, 1, 6, 7, 2)",0,1,0,0,13,1,3,0,0
"(4, 3, 5, 8, 1, 7, 2, 6)",0,0,0,1,13,1,3,0,0
"(4, 3, 5, 8, 1, 7, 6, 2)",0,1,0,1,14,0,4,0,0
"(4, 3, 5, 8, 2, 1, 6, 7)",0,0,0,1,12,0,3,0,0
"(4, 3, 5, 8, 2, 1, 7, 6)",0,1,0,0,13,1,4,0,0
"(4, 3, 5, 8, 2, 6, 1, 7)",0,0,0,0,13,1,3,0,0
"(4, 3, 5, 8, 2, 6, 7, 1)",1,1,0,0,14,0,3,0,0
"(4, 3, 5, 8, 2, 7, 1, 6)",0,0,0,1,14,0,3,0,0
"(4, 3, 5, 8, 2, 7, 6, 1)",1,1,0,1,15,1,4,0,0
"(4, 3, 5, 8, 6, 1, 2, 7)",0,0,0,1,13,1,3,0,0
"(4, 3, 5, 8, 6, 1, 7, 2)",0,1,0,0,14,0,4,0,0
"(4, 3, 5, 8, 6, 2, 1, 7)",0,0,0,1,14,0,4,0,0
"(4, 3, 5, 8, 6, 2, 7, 1)",1,1,0,0,15,1,4,0,0
"(4, 3, 5, 8, 6, 7, 1, 2)",0,0,0,1,15,1,3,0,0
"(4, 3, 5, 8, 6, 7, 2, 1)",1,1,0,1,16,0,4,0,0
"(4, 3, 5, 8, 7, 1, 2, 6)",0,0,0,1,14,0,3,0,0
"(4, 3, 5, 8, 7, 1, 6, 2)",0,1,0,1,15,1,4,0,0
"(4, 3, 5, 8, 7, 2, 1, 6)",0,0,0,1,15,1,4,0,0
"(4, 3, 5, 8, 7, 2, 6, 1)",1,1,0,1,16,0,4,0,0
"(4, 3, 5, 8, 7, 6, 1, 2)",0,0,0,0,16,0,4,0,0
"(4, 3, 5, 8, 7, 6, 2, 1)",1,1,0,0,17,1,5,0,0
"(4, 3, 6, 1, 2, 5, 7, 8)",0,0,0,0,8,0,2,0,0
"(4, 3, 6, 1, 2, 5, 8, 7)",0,1,0,1,9,1,3,0,0
"(4, 3, 6, 1, 2, 7, 5, 8)",0,0,0,0,9,1,3,0,0
"(4, 3, 6, 1, 2, 7, 8, 5)",0,1,0,1,10,0,3,0,0
"(4, 3, 6, 1, 2, 8, 5, 7)",0,0,0,1,10,0,3,0,0
"(4, 3, 6, 1, 2, 8, 7, 5)",0,1,0,0,11,1,4,0,0
"(4, 3, 6, 1, 5, 2, 7, 8)",0,0,0,0,9,1,3,0,0
"(4, 3, 6, 1, 5, 2, 8, 7)",0,1,0,0,10,0,4,0,0
"(4, 3, 6, 1, 5, 7, 2, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 6, 1, 5, 7, 8, 2)",0,1,0,0,11,1,3,0,0
"(4, 3, 6, 1, 5, 8, 2, 7)",0,0,0,0,11,1,3,0,0
"(4, 3, 6, 1, 5, 8, 7, 2)",0,1,0,0,12,0,4,0,0
"(4, 3, 6, 1, 7, 2, 5, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 6, 1, 7, 2, 8, 5)",0,1,0,1,11,1,4,0,0
"(4, 3, 6, 1, 7, 5, 2, 8)",0,0,0,0,11,1,4,0,0
"(4, 3, 6, 1, 7, 5, 8, 2)",0,1,0,1,12,0,4,0,0
"(4, 3, 6, 1, 7, 8, 2, 5)",0,0,0,1,12,0,3,0,0
"(4, 3, 6, 1, 7, 8, 5, 2)",0,1,0,1,13,1,4,0,0
"(4, 3, 6, 1, 8, 2, 5, 7)",0,0,0,1,11,1,3,0,0
"(4, 3, 6, 1, 8, 2, 7, 5)",0,1,0,0,12,0,4,0,0
"(4, 3, 6, 1, 8, 5, 2, 7)",0,0,0,1,12,0,4,0,0
"(4, 3, 6, 1, 8, 5, 7, 2)",0,1,0,0,13,1,4,0,0
"(4, 3, 6, 1, 8, 7, 2, 5)",0,0,0,1,13,1,4,0,0
"(4, 3, 6, 1, 8, 7, 5, 2)",0,1,0,1,14,0,5,0,0
"(4, 3, 6, 2, 1, 5, 7, 8)",0,0,0,0,9,1,3,0,0
"(4, 3, 6, 2, 1, 5, 8, 7)",0,1,0,1,10,0,4,0,0
"(4, 3, 6, 2, 1, 7, 5, 8)",0,0,0,0,10,0,4,0,0
"(4, 3, 6, 2, 1, 7, 8, 5)",0,1,0,1,11,1,4,0,0
"(4, 3, 6, 2, 1, 8, 5, 7)",0,0,0,1,11,1,4,0,0
"(4, 3, 6, 2, 1, 8, 7, 5)",0,1,0,0,12,0,5,0,0
"(4, 3, 6, 2, 5, 1, 7, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 6, 2, 5, 1, 8, 7)",0,1,0,0,11,1,4,0,0
"(4, 3, 6, 2, 5, 7, 1, 8)",0,0,0,0,11,1,3,0,0
"(4, 3, 6, 2, 5, 7, 8, 1)",1,1,0,0,12,0,3,0,0
"(4, 3, 6, 2, 5, 8, 1, 7)",0,0,0,0,12,0,3,0,0
"(4, 3, 6, 2, 5, 8, 7, 1)",1,1,0,0,13,1,4,0,0
"(4, 3, 6, 2, 7, 1, 5, 8)",0,0,0,0,11,1,3,0,0
"(4, 3, 6, 2, 7, 1, 8, 5)",0,1,0,1,12,0,4,0,0
"(4, 3, 6, 2, 7, 5, 1, 8)",0,0,0,0,12,0,4,0,0
"(4, 3, 6, 2, 7, 5, 8, 1)",1,1,0,1,13,1,4,0,0
"(4, 3, 6, 2, 7, 8, 1, 5)",0,0,0,1,13,1,3,0,0
"(4, 3, 6, 2, 7, 8, 5, 1)",1,1,0,1,14,0,4,0,0
"(4, 3, 6, 2, 8, 1, 5, 7)",0,0,0,1,12,0,3,0,0
"(4, 3, 6, 2, 8, 1, 7, 5)",0,1,0,0,13,1,4,0,0
"(4, 3, 6, 2, 8, 5, 1, 7)",0,0,0,1,13,1,4,0,0
"(4, 3, 6, 2, 8, 5, 7, 1)",1,1,0,0,14,0,4,0,0
"(4, 3, 6, 2, 8, 7, 1, 5)",0,0,0,1,14,0,4,0,0
"(4, 3, 6, 2, 8, 7, 5, 1)",1,1,0,1,15,1,5,0,0
"(4, 3, 6, 5, 1, 2, 7, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 6, 5, 1, 2, 8, 7)",0,1,0,1,11,1,4,0,0
"(4, 3, 6, 5, 1, 7, 2, 8)",0,0,0,0,11,1,4,0,0
"(4, 3, 6, 5, 1, 7, 8, 2)",0,1,0,1,12,0,4,0,0
"(4, 3, 6, 5, 1, 8, 2, 7)",0,0,0,1,12,0,4,0,0
"(4, 3, 6, 5, 1, 8, 7, 2)",0,1,0,0,13,1,5,0,0
"(4, 3, 6, 5, 2, 1, 7, 8)",0,0,0,0,11,1,4,0,0
"(4, 3, 6, 5, 2, 1, 8, 7)",0,1,0,1,12,0,5,0,0
"(4, 3, 6, 5, 2, 7, 1, 8)",0,0,0,0,12,0,4,0,0
"(4, 3, 6, 5, 2, 7, 8, 1)",1,1,0,1,13,1,4,0,0
"(4, 3, 6, 5, 2, 8, 1, 7)",0,0,0,1,13,1,4,0,0
"(4, 3, 6, 5, 2, 8, 7, 1)",1,1,0,0,14,0,5,0,0
"(4, 3, 6, 5, 7, 1, 2, 8)",0,0,0,0,12,0,3,0,0
"(4, 3, 6, 5, 7, 1, 8, 2)",0,1,0,1,13,1,4,0,0
"(4, 3, 6, 5, 7, 2, 1, 8)",0,0,0,0,13,1,4,0,0
"(4, 3, 6, 5, 7, 2, 8, 1)",1,1,0,1,14,0,4,0,0
"(4, 3, 6, 5, 7, 8, 1, 2)",0,0,0,1,14,0,3,0,0
"(4, 3, 6, 5, 7, 8, 2, 1)",1,1,0,1,15,1,4,0,0
"(4, 3, 6, 5, 8, 1, 2, 7)",0,0,0,1,13,1,3,0,0
"(4, 3, 6, 5, 8, 1, 7, 2)",0,1,0,0,14,0,4,0,0
"(4, 3, 6, 5, 8, 2, 1, 7)",0,0,0,1,14,0,4,0,0
"(4, 3, 6, 5, 8, 2, 7, 1)",1,1,0,0,15,1,4,0,0
"(4, 3, 6, 5, 8, 7, 1, 2)",0,0,0,1,15,1,4,0,0
"(4, 3, 6, 5, 8, 7, 2, 1)",1,1,0,1,16,0,5,0,0
"(4, 3, 6, 7, 1, 2, 5, 8)",0,0,0,0,11,1,2,0,0
"(4, 3, 6, 7, 1, 2, 8, 5)",0,1,0,1,12,0,3,0,0
"(4, 3, 6, 7, 1, 5, 2, 8)",0,0,0,0,12,0,3,0,0
"(4, 3, 6, 7, 1, 5, 8, 2)",0,1,0,1,13,1,3,0,0
"(4, 3, 6, 7, 1, 8, 2, 5)",0,0,0,1,13,1,3,0,0
"(4, 3, 6, 7, 1, 8, 5, 2)",0,1,0,1,14,0,4,0,0
"(4, 3, 6, 7, 2, 1, 5, 8)",0,0,0,0,12,0,3,0,0
"(4, 3, 6, 7, 2, 1, 8, 5)",0,1,0,1,13,1,4,0,0
"(4, 3, 6, 7, 2, 5, 1, 8)",0,0,0,0,13,1,3,0,0
"(4, 3, 6, 7, 2, 5, 8, 1)",1,1,0,1,14,0,3,0,0
"(4, 3, 6, 7, 2, 8, 1, 5)",0,0,0,1,14,0,3,0,0
"(4, 3, 6, 7, 2, 8, 5, 1)",1,1,0,1,15,1,4,0,0
"(4, 3, 6, 7, 5, 1, 2, 8)",0,0,0,0,13,1,3,0,0
"(4, 3, 6, 7, 5, 1, 8, 2)",0,1,0,0,14,0,4,0,0
"(4, 3, 6, 7, 5, 2, 1, 8)",0,0,0,0,14,0,4,0,0
"(4, 3, 6, 7, 5, 2, 8, 1)",1,1,0,0,15,1,4,0,0
"(4, 3, 6, 7, 5, 8, 1, 2)",0,0,0,0,15,1,3,0,0
"(4, 3, 6, 7, 5, 8, 2, 1)",1,1,0,0,16,0,4,0,0
"(4, 3, 6, 7, 8, 1, 2, 5)",0,0,0,1,14,0,2,0,0
"(4, 3, 6, 7, 8, 1, 5, 2)",0,1,0,1,15,1,3,0,0
"(4, 3, 6, 7, 8, 2, 1, 5)",0,0,0,1,15,1,3,0,0
"(4, 3, 6, 7, 8, 2, 5, 1)",1,1,0,1,16,0,3,0,0
"(4, 3, 6, 7, 8, 5, 1, 2)",0,0,0,1,16,0,3,0,0
"(4, 3, 6, 7, 8, 5, 2, 1)",1,1,0,1,17,1,4,0,0
"(4, 3, 6, 8, 1, 2, 5, 7)",0,0,0,1,12,0,2,0,0
"(4, 3, 6, 8, 1, 2, 7, 5)",0,1,0,0,13,1,3,0,0
"(4, 3, 6, 8, 1, 5, 2, 7)",0,0,0,1,13,1,3,0,0
"(4, 3, 6, 8, 1, 5, 7, 2)",0,1,0,0,14,0,3,0,0
"(4, 3, 6, 8, 1, 7, 2, 5)",0,0,0,1,14,0,3,0,0
"(4, 3, 6, 8, 1, 7, 5, 2)",0,1,0,1,15,1,4,0,0
"(4, 3, 6, 8, 2, 1, 5, 7)",0,0,0,1,13,1,3,0,0
"(4, 3, 6, 8, 2, 1, 7, 5)",0,1,0,0,14,0,4,0,0
"(4, 3, 6, 8, 2, 5, 1, 7)",0,0,0,1,14,0,3,0,0
"(4, 3, 6, 8, 2, 5, 7, 1)",1,1,0,0,15,1,3,0,0
"(4, 3, 6, 8, 2, 7, 1, 5)",0,0,0,1,15,1,3,0,0
"(4, 3, 6, 8, 2, 7, 5, 1)",1,1,0,1,16,0,4,0,0
"(4, 3, 6, 8, 5, 1, 2, 7)",0,0,0,0,14,0,3,0,0
"(4, 3, 6, 8, 5, 1, 7, 2)",0,1,0,0,15,1,4,0,0
"(4, 3, 6, 8, 5, 2, 1, 7)",0,0,0,0,15,1,4,0,0
"(4, 3, 6, 8, 5, 2, 7, 1)",1,1,0,0,16,0,4,0,0
"(4, 3, 6, 8, 5, 7, 1, 2)",0,0,0,0,16,0,3,0,0
"(4, 3, 6, 8, 5, 7, 2, 1)",1,1,0,0,17,1,4,0,0
"(4, 3, 6, 8, 7, 1, 2, 5)",0,0,0,1,15,1,3,0,0
"(4, 3, 6, 8, 7, 1, 5, 2)",0,1,0,1,16,0,4,0,0
"(4, 3, 6, 8, 7, 2, 1, 5)",0,0,0,1,16,0,4,0,0
"(4, 3, 6, 8, 7, 2, 5, 1)",1,1,0,1,17,1,4,0,0
"(4, 3, 6, 8, 7, 5, 1, 2)",0,0,0,1,17,1,4,0,0
"(4, 3, 6, 8, 7, 5, 2, 1)",1,1,0,1,18,0,5,0,0
"(4, 3, 7, 1, 2, 5, 6, 8)",0,0,0,0,9,1,2,0,0
"(4, 3, 7, 1, 2, 5, 8, 6)",0,1,0,1,10,0,3,0,0
"(4, 3, 7, 1, 2, 6, 5, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 7, 1, 2, 6, 8, 5)",0,1,0,0,11,1,3,0,0
"(4, 3, 7, 1, 2, 8, 5, 6)",0,0,0,1,11,1,3,0,0
"(4, 3, 7, 1, 2, 8, 6, 5)",0,1,0,1,12,0,4,0,0
"(4, 3, 7, 1, 5, 2, 6, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 7, 1, 5, 2, 8, 6)",0,1,0,0,11,1,4,0,0
"(4, 3, 7, 1, 5, 6, 2, 8)",0,0,0,0,11,1,3,0,0
"(4, 3, 7, 1, 5, 6, 8, 2)",0,1,0,0,12,0,3,0,0
"(4, 3, 7, 1, 5, 8, 2, 6)",0,0,0,0,12,0,3,0,0
"(4, 3, 7, 1, 5, 8, 6, 2)",0,1,0,0,13,1,4,0,0
"(4, 3, 7, 1, 6, 2, 5, 8)",0,0,0,0,11,1,3,0,0
"(4, 3, 7, 1, 6, 2, 8, 5)",0,1,0,1,12,0,4,0,0
"(4, 3, 7, 1, 6, 5, 2, 8)",0,0,0,0,12,0,4,0,0
"(4, 3, 7, 1, 6, 5, 8, 2)",0,1,0,1,13,1,4,0,0
"(4, 3, 7, 1, 6, 8, 2, 5)",0,0,0,1,13,1,3,0,0
"(4, 3, 7, 1, 6, 8, 5, 2)",0,1,0,1,14,0,4,0,0
"(4, 3, 7, 1, 8, 2, 5, 6)",0,0,0,1,12,0,3,0,0
"(4, 3, 7, 1, 8, 2, 6, 5)",0,1,0,1,13,1,4,0,0
"(4, 3, 7, 1, 8, 5, 2, 6)",0,0,0,1,13,1,4,0,0
"(4, 3, 7, 1, 8, 5, 6, 2)",0,1,0,1,14,0,4,0,0
"(4, 3, 7, 1, 8, 6, 2, 5)",0,0,0,0,14,0,4,0,0
"(4, 3, 7, 1, 8, 6, 5, 2)",0,1,0,0,15,1,5,0,0
"(4, 3, 7, 2, 1, 5, 6, 8)",0,0,0,0,10,0,3,0,0
"(4, 3, 7, 2, 1, 5, 8, 6)",0,1,0,1,11,1,4,0,0
